Facility Type,license,legalName,brand,location,streetAddress,addressLocality,postalCode,telephone,Number of Spaces,loc,longitude,latitude,entityTitle,@context,@type,@id
Parking Garage,367720,222 EAST 69TH       GARAGE CORP,,"222 69 STREET
NEW YORK, NY 10021
",222 69 STREET,NEW YORK,10021,2124072516,157,"[-73.96147951695475,40.76755437432933]",-73.96147951695475,40.76755437432933,222_east_69th_garage_corp_367720,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/222_east_69th_garage_corp_367720
Parking Garage,367866,333 GARAGE CORP,,"333 69 STREET
NEW YORK, NY 10021
",333 69 STREET,NEW YORK,10021,2126581529,67,"[-73.95823567046727,40.766216159886596]",-73.95823567046727,40.766216159886596,333_garage_corp_367866,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/333_garage_corp_367866
Parking Garage,367917,ZENITH PARKING LLC,254 254 W 49 STREET,"790 800 8 AVENUE
NEW YORK, NY 10019
",790 800 8 AVENUE,NEW YORK,10019,2126869800,250,"[-73.99180550022362,40.76761164715987]",-73.99180550022362,40.76761164715987,zenith_parking_llc_367917,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/zenith_parking_llc_367917
Parking Garage,368157,EFFECTIVE PARKING LLC,,"435 57 STREET
NEW YORK, NY 10019
",435 57 STREET,NEW YORK,10019,2126869800,55,"[-73.98724779913249,40.768572383603384]",-73.98724779913249,40.768572383603384,effective_parking_llc_368157,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/effective_parking_llc_368157
Parking Garage,368185,BRICIN PARKING CORP,,"155 55 STREET
NEW YORK, NY 10022
",155 55 STREET,NEW YORK,10022,2127565451,42,"[-73.96954093360974,40.75943562867136]",-73.96954093360974,40.75943562867136,bricin_parking_corp_368185,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/bricin_parking_corp_368185
Parking Garage,368201,145 EAST 16TH STREET GARAGE CORP,,"144 17 STREET
NEW YORK, NY 10003
",144 17 STREET,NEW YORK,10003,2128887400,47,"[-73.98696372688401,40.735669369839925]",-73.98696372688401,40.735669369839925,145_east_16th_street_garage_corp_368201,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/145_east_16th_street_garage_corp_368201
Parking Garage,368410,BRICIN PARKING CORP,,"65 55 STREET
NEW YORK, NY 10019
",65 55 STREET,NEW YORK,10019,2127515431,24,"[-73.97696453956875,40.76256729922898]",-73.97696453956875,40.76256729922898,bricin_parking_corp_368410,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/bricin_parking_corp_368410
Parking Garage,369606,THE HERTZ CORP,,"327 64 STREET
NEW YORK, NY 10065
",327 64 STREET,NEW YORK,10065,2124865914,120,"[-73.96072679248846,40.76317645142757]",-73.96072679248846,40.76317645142757,the_hertz_corp_369606,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/the_hertz_corp_369606
Parking Garage,427326,THE HERTZ CORP,,"412 90 STREET
NEW YORK, NY 10128
",412 90 STREET,NEW YORK,10128,2129865912,150,"[-73.94646354510371,40.77899552592294]",-73.94646354510371,40.77899552592294,the_hertz_corp_427326,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/the_hertz_corp_427326
Parking Garage,427357,"TRI STAR GARAGE SERVICE, CORP.",,"3230 JEROME AVENUE
BRONX, NY 10468
",3230 JEROME AVENUE,BRONX,10468,7183641837,100,"[-73.88756392860961,40.87710509945222]",-73.88756392860961,40.87710509945222,tri_star_garage_service_corp_427357,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/tri_star_garage_service_corp_427357
Parking Garage,427924,"FRIARS 50TH STREET GARAGE, INC",,"218 50 STREET
NEW YORK, NY 10019
",218 50 STREET,NEW YORK,10019,2128887400,230,"[-73.98481063643311,40.761746529400966]",-73.98481063643311,40.761746529400966,friars_50th_street_garage_inc_427924,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/friars_50th_street_garage_inc_427924
Parking Garage,469373,EQUITY PARKING LLC,,"1441 55 2 AVENUE
NEW YORK, NY 10021
",1441 55 2 AVENUE,NEW YORK,10021,2126869800,70,"[-73.959183941086,40.76920532766377]",-73.959183941086,40.76920532766377,equity_parking_llc_469373,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/equity_parking_llc_469373
Parking Garage,695803,RIVERBAY CORPORATION,,"99 EINSTEIN LOOP
BRONX, NY 10475
",99 EINSTEIN LOOP,BRONX,10475,7183203326,1311,"[-73.82340950963417,40.865634337074525]",-73.82340950963417,40.865634337074525,riverbay_corporation_695803,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corporation_695803
Parking Garage,699244,79TH ST PARKING LLC,,"900 PARK AVENUE
NEW YORK, NY 10021
",900 PARK AVENUE,NEW YORK,10021,2126869800,61,"[-73.96207661859317,40.77372882608772]",-73.96207661859317,40.77372882608772,79th_st_parking_llc_699244,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/79th_st_parking_llc_699244
Parking Garage,735702,Y & H ENTERPRISES INC                   526-534 W 13,Y & H GARAGE,"526 134 STREET
NEW YORK, NY 10031
",526 134 STREET,NEW YORK,10031,2128623502,175,"[-73.95447255059264,40.818928794537506]",-73.95447255059264,40.818928794537506,y_h_enterprises_inc_526_534_w_13_735702,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/y_h_enterprises_inc_526_534_w_13_735702
Parking Garage,835271,NEW YORK PARKING 54TH ST CORP,,"527 MADISON AVENUE
NEW YORK, NY 10022
",527 MADISON AVENUE,NEW YORK,10022,2122493344,26,"[-73.97391085343799,40.760145736188804]",-73.97391085343799,40.760145736188804,new_york_parking_54th_st_corp_835271,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/new_york_parking_54th_st_corp_835271
Parking Garage,850402,ACTIVE PARKING LLC,,"2361 2379
NEW YORK, NY 10024
",2361 2379,NEW YORK,10024,2126869800,124,"[-73.96653900057436,40.78362556816552]",-73.96653900057436,40.78362556816552,active_parking_llc_850402,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/active_parking_llc_850402
Parking Garage,883898,FLEUR GARAGE CORP,,"77 7 AVENUE
NEW YORK, NY 10011
",77 7 AVENUE,NEW YORK,10011,2129562280,94,"[-73.9990623731368,40.73933509005636]",-73.9990623731368,40.73933509005636,fleur_garage_corp_883898,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/fleur_garage_corp_883898
Parking Garage,889341,THOMPSON ST. PARKING CORP,,"221 THOMPSON ST
NEW YORK, NY 10012
",221 THOMPSON ST,NEW YORK,10012,2126438631,235,"[-73.99896596517425,40.72924503126211]",-73.99896596517425,40.72924503126211,thompson_st_parking_corp_889341,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/thompson_st_parking_corp_889341
Parking Garage,891578,THE HERTZ CORP,,"355 76 STREET
NEW YORK, NY 10021
",355 76 STREET,NEW YORK,10021,2124865908,260,"[-73.95496213828062,40.77074874291429]",-73.95496213828062,40.77074874291429,the_hertz_corp_891578,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/the_hertz_corp_891578
Parking Garage,897040,INDEPENDENT PARKING LLC,,"422 72 STREET
NEW YORK, NY 10021
",422 72 STREET,NEW YORK,10021,2126869800,77,"[-73.95473730777331,40.76727735988118]",-73.95473730777331,40.76727735988118,independent_parking_llc_897040,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/independent_parking_llc_897040
Parking Garage,898706,"PARIS, ZACARIAS P",P & P PARKING LOT,"1300 GERARD AVENUE
BRONX, NY 10452
",1300 GERARD AVENUE,BRONX,10452,7182933679,30,"[-73.91923161825794,40.838158578178174]",-73.91923161825794,40.838158578178174,paris_zacarias_p_898706,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/paris_zacarias_p_898706
Parking Garage,901637,WOOSTER PARKING CORP,,"349 CANAL STREET
NEW YORK, NY 10013
",349 CANAL STREET,NEW YORK,10013,2122268541,225,"[-74.00374136514984,40.72073744486488]",-74.00374136514984,40.72073744486488,wooster_parking_corp_901637,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/wooster_parking_corp_901637
Parking Garage,904543,12TH STREET GARAGE CORP,,"17 12 STREET
NEW YORK, NY 10003
",17 12 STREET,NEW YORK,10003,2122435900,285,"[-73.99333620927086,40.73414633632177]",-73.99333620927086,40.73414633632177,12th_street_garage_corp_904543,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/12th_street_garage_corp_904543
Parking Garage,905554,50-51 PARKING CORP,,"260 143 STREET
BRONX, NY 10451
",260 143 STREET,BRONX,10451,7189936902,150,"[-73.92443396641596,40.81520833447427]",-73.92443396641596,40.81520833447427,50_51_parking_corp_905554,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/50_51_parking_corp_905554
Parking Garage,920557,BASIC PARKING CORP,,"225 46 STREET
NEW YORK, NY 10017
",225 46 STREET,NEW YORK,10017,2122543955,26,"[-73.97141073819654,40.752825254870345]",-73.97141073819654,40.752825254870345,basic_parking_corp_920557,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/basic_parking_corp_920557
Parking Garage,924101,RAPID E 38TH ST CORP,RAPID E 38TH ST,"35 38 STREET
NEW YORK, NY 10016
",35 38 STREET,NEW YORK,10016,2128661000,21,"[-73.98010718221985,40.74987547861423]",-73.98010718221985,40.74987547861423,rapid_e_38th_st_corp_924101,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/rapid_e_38th_st_corp_924101
Parking Garage,927638,RAPID 165 CORP,,"165 77 STREET
NEW YORK, NY 10021
",165 77 STREET,NEW YORK,10021,2128661000,200,"[-74.032000593169,40.63090590873362]",-74.032000593169,40.63090590873362,rapid_165_corp_927638,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/rapid_165_corp_927638
Parking Garage,953176,COMFORT PARK LLC,,"301 ELIZABETH STREET
NEW YORK, NY 10012
",301 ELIZABETH STREET,NEW YORK,10012,2126869800,39,"[-73.99344976301569,40.72454171103205]",-73.99344976301569,40.72454171103205,comfort_park_llc_953176,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/comfort_park_llc_953176
Parking Garage,954111,KINNEY WEST 83RD STREET INC.,,"157 161 WEST 83RD STREET
NEW YORK, NY 10024
",157 161 WEST 83RD STREET,NEW YORK,10024,2128676300,182,"[-73.96653900057436,40.78362556816552]",-73.96653900057436,40.78362556816552,kinney_west_83rd_street_inc_954111,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/kinney_west_83rd_street_inc_954111
Parking Garage,960635,A.M.D. LLC,,"400 59 STREET
NEW YORK, NY 10019
",400 59 STREET,NEW YORK,10019,2129562280,294,"[-73.9850804330419,40.769363786989175]",-73.9850804330419,40.769363786989175,a_m_d_llc_960635,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/a_m_d_llc_960635
Parking Garage,961850,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"45 END AVENUE
NEW YORK, NY 10028
",45 END AVENUE,NEW YORK,10028,2126296602,77,"[-74.17871251402961,40.56356964375637]",-74.17871251402961,40.56356964375637,central_parking_system_of_new_york_inc_961850,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_961850
Parking Garage,963093,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"798 804 UNION STREET
BROOKLYN, NY 11215
",798 804 UNION STREET,BROOKLYN,11215,2126296602,165,"[-73.97968153557434,40.665557251366124]",-73.97968153557434,40.665557251366124,central_parking_system_of_new_york_inc_963093,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_963093
Parking Garage,1001573,245 EAST 40TH ST. PARKING LLC,,"747 59 2 AVENUE
NEW YORK, NY 10017
",747 59 2 AVENUE,NEW YORK,10017,2126869800,130,"[-73.97297648087982,40.75245652744684]",-73.97297648087982,40.75245652744684,245_east_40th_st_parking_llc_1001573,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/245_east_40th_st_parking_llc_1001573
Parking Garage,1002428,REED PARKING CORP,,"100 25 QUEENS BOULEVARD
FOREST HILLS, NY 11375
",100 25 QUEENS BOULEVARD,FOREST HILLS,11375,2127536116,66,"[-73.84628429608335,40.720707263029794]",-73.84628429608335,40.720707263029794,reed_parking_corp_1002428,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/reed_parking_corp_1002428
Parking Garage,1004164,"COUNTYWIDE CARPARK, INC",,"288 ST MARKS AVENUE
BROOKLYN, NY 11238
",288 ST MARKS AVENUE,BROOKLYN,11238,2122216111,112,"[-73.96629141583642,40.67803732918058]",-73.96629141583642,40.67803732918058,countywide_carpark_inc_1004164,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/countywide_carpark_inc_1004164
Parking Garage,1004391,"328 WEST 39 STREET PARKING, LLC",,"334 336 WEST 39 STREET
NEW YORK, NY 10018
",334 336 WEST 39 STREET,NEW YORK,10018,2126869800,35,"[-73.99669149981281,40.756840774582145]",-73.99669149981281,40.756840774582145,328_west_39_street_parking_llc_1004391,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/328_west_39_street_parking_llc_1004391
Parking Garage,1016422,RIVER WATCH GARAGE LLC,,"70 BATTERY PLACE
NEW YORK, NY 10280
",70 BATTERY PLACE,NEW YORK,10280,2128389092,36,"[-74.01735710067345,40.70714868900217]",-74.01735710067345,40.70714868900217,river_watch_garage_llc_1016422,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/river_watch_garage_llc_1016422
Garage - Parking Lot Combo,881522,DEAN STREET PARKING CORPORATION,,"885 DEAN STREET
BROOKLYN, NY 11238
",885 DEAN STREET,BROOKLYN,11238,7183983409,160,"[-73.9606158528504,40.67867732420205]",-73.9606158528504,40.67867732420205,dean_street_parking_corporation_881522,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/dean_street_parking_corporation_881522
Garage - Parking Lot Combo,899470,POO PARKING CORP,,"1650 SELWYN AVENUE
BRONX, NY 10457
",1650 SELWYN AVENUE,BRONX,10457,7187536116,64,"[-73.91039471761154,40.84317219644427]",-73.91039471761154,40.84317219644427,poo_parking_corp_899470,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/poo_parking_corp_899470
Garage - Parking Lot Combo,995385,T.P.E.C CORP.,,"41 10 CRESCENT STREET
QUEENS, NY 11101
",41 10 CRESCENT STREET,QUEENS,11101,7187070335,125,"[-73.93866902925225,40.74570244980828]",-73.93866902925225,40.74570244980828,t_p_e_c_corp_995385,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/t_p_e_c_corp_995385
Garage - Parking Lot Combo,1125593,CHAMPION 126 LLC,,"162 126 STREET
NEW YORK, NY 10035
",162 126 STREET,NEW YORK,10035,2123085959,204,"[-73.9363595475333,40.80477823152241]",-73.9363595475333,40.80477823152241,champion_126_llc_1125593,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/champion_126_llc_1125593
Garage - Parking Lot Combo,1228864,"QUIK PARK 65 ST, LLC",,"403 411 EAST 65 STREET
NEW YORK, NY 10021
",403 411 EAST 65 STREET,NEW YORK,10021,2128322066,180,"[-73.959183941086,40.76920532766377]",-73.959183941086,40.76920532766377,quik_park_65_st_llc_1228864,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/quik_park_65_st_llc_1228864
Garage - Parking Lot Combo,1261502,"SALVATOR, JOSEPH",J & S PARKING FACILITY,"284 NASSAU AVENUE
BROOKLYN, NY 11222
",284 NASSAU AVENUE,BROOKLYN,11222,3475895454,25,"[-73.93939446954023,40.7260782285336]",-73.93939446954023,40.7260782285336,salvator_joseph_1261502,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/salvator_joseph_1261502
Garage - Parking Lot Combo,1262200,FLASH 31 MANAGEMENT LLC,,"124 126 WEST 31 STREET
NEW YORK, NY 10001
",124 126 WEST 31 STREET,NEW YORK,10001,7187880066,34,"[-73.99688630375988,40.75025902143676]",-73.99688630375988,40.75025902143676,flash_31_management_llc_1262200,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/flash_31_management_llc_1262200
Garage - Parking Lot Combo,1277075,"ESP GROUP OF NEW YORK, INC.",,"354 CLARKSON AVENUE
BROOKLYN, NY 11226
",354 CLARKSON AVENUE,BROOKLYN,11226,7184697672,100,"[-73.94814967647042,40.655510666949965]",-73.94814967647042,40.655510666949965,esp_group_of_new_york_inc_1277075,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/esp_group_of_new_york_inc_1277075
Garage - Parking Lot Combo,1313003,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,"282 11 AVENUE
NEW YORK, NY 10001
",282 11 AVENUE,NEW YORK,10001,2125025490,162,"[-74.00452377531536,40.752294654873026]",-74.00452377531536,40.752294654873026,central_parking_system_of_new_york_inc_1313003,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_1313003
Parking Garage,363740,841 GARAGE ASSOCIATES LIMITED PARTERSHIP,,"841 845 UNION STREET
BROOKLYN, NY 11215
",841 845 UNION STREET,BROOKLYN,11215,7186388888,165,"[-73.97968153557434,40.665557251366124]",-73.97968153557434,40.665557251366124,841_garage_associates_limited_partership_363740,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/841_garage_associates_limited_partership_363740
Parking Garage,363881,D M K GARAGE INC,,"118 WAVERLY AVENUE
BROOKLYN, NY 11205
",118 WAVERLY AVENUE,BROOKLYN,11205,7186246867,85,"[-73.96807185317047,40.6941565023436]",-73.96807185317047,40.6941565023436,d_m_k_garage_inc_363881,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/d_m_k_garage_inc_363881
Parking Garage,367318,ALMAR GARAGE INC,,"700 PARK AVENUE
NEW YORK, NY 10021
",700 PARK AVENUE,NEW YORK,10021,2127511080,51,"[-73.96519642297403,40.76939975987034]",-73.96519642297403,40.76939975987034,almar_garage_inc_367318,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/almar_garage_inc_367318
Parking Garage,367606,SUPPORT PARKING LLC.,,"350 52 STREET
NEW YORK, NY 10022
",350 52 STREET,NEW YORK,10022,2126869800,80,"[-73.96640629091259,40.75560596691341]",-73.96640629091259,40.75560596691341,support_parking_llc_367606,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/support_parking_llc_367606
Parking Garage,367711,575 FIRST AVE CORP,,"580 600 2 AVENUE
NEW YORK, NY 10016
",580 600 2 AVENUE,NEW YORK,10016,2128661000,300,"[-73.97823298586354,40.745242969987146]",-73.97823298586354,40.745242969987146,575_first_ave_corp_367711,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/575_first_ave_corp_367711
Parking Garage,367734,11 EAST 86TH ST GARAGE CORP,,"11 86 STREET
NEW YORK, NY 10028
",11 86 STREET,NEW YORK,10028,2129562280,22,"[-73.95940478910535,40.781108932691836]",-73.95940478910535,40.781108932691836,11_east_86th_st_garage_corp_367734,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/11_east_86th_st_garage_corp_367734
Parking Garage,367783,"BENNETT TOWERS APARTMENTS, INC",,"711 190 STREET
NEW YORK, NY 10040
",711 190 STREET,NEW YORK,10040,2128799630,15,"[-73.93327049093392,40.85666097637329]",-73.93327049093392,40.85666097637329,bennett_towers_apartments_inc_367783,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/bennett_towers_apartments_inc_367783
Parking Garage,368455,SWIFT PARKING LLC.,,"160 88 STREET
NEW YORK, NY 10128
",160 88 STREET,NEW YORK,10128,2126869800,36,"[-73.95459313851522,40.78073093920931]",-73.95459313851522,40.78073093920931,swift_parking_llc_368455,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/swift_parking_llc_368455
Parking Garage,368732,MANHATTAN PARKING BORO CORP,,"40 CLINTON STREET
BKLYN, NY 11201
",40 CLINTON STREET,BKLYN,11201,2127536116,50,"[-73.99193192863936,40.69537538413037]",-73.99193192863936,40.69537538413037,manhattan_parking_boro_corp_368732,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/manhattan_parking_boro_corp_368732
Parking Garage,369823,PARKLEX GARAGE INC,,"345 PARK AVENUE
NEW YORK, NY 10022
",345 PARK AVENUE,NEW YORK,10022,2124072516,150,"[-73.97318240259426,40.758068302301126]",-73.97318240259426,40.758068302301126,parklex_garage_inc_369823,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/parklex_garage_inc_369823
Parking Garage,369956,STATE-PEARL GARAGE INC,,"1 BATTERY PARK PLAZA
NEW YORK, NY 10004
",1 BATTERY PARK PLAZA,NEW YORK,10004,2124072516,150,"[-74.01911250583743,40.688827825343935]",-74.01911250583743,40.688827825343935,state_pearl_garage_inc_369956,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/state_pearl_garage_inc_369956
Parking Garage,427236,K R W OPERATING CORP,,"204 101 STREET
NNEW YORK, NY 10025
",204 101 STREET,NNEW YORK,10025,2128661000,300,"[-73.96862283990566,40.79749458006569]",-73.96862283990566,40.79749458006569,k_r_w_operating_corp_427236,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/k_r_w_operating_corp_427236
Parking Garage,427264,LOUIS PROVENZANO INC,,"24 LEONARD STREET
NEW YORK, NY 10013
",24 LEONARD STREET,NEW YORK,10013,2127766836,217,"[-74.00760844987582,40.718507126232225]",-74.00760844987582,40.718507126232225,louis_provenzano_inc_427264,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/louis_provenzano_inc_427264
Parking Garage,427303,"HAMMER, GEOFFREY    ET AL",RIVERVIEW   OPERATING CO,"267 87 STREET
NEW YORK, NY 10024
",267 87 STREET,NEW YORK,10024,2128887400,201,"[-73.9766717720679,40.78926578349757]",-73.9766717720679,40.78926578349757,hammer_geoffrey_et_al_427303,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/hammer_geoffrey_et_al_427303
Parking Garage,427913,CA-LI AUTOMATIC TRANSMISSION CORP,A & S PARKING,"103 108 STREET
NEW YORK, NY 10025
",103 108 STREET,NEW YORK,10025,2128640137,125,"[-73.96250745010644,40.80079509191319]",-73.96250745010644,40.80079509191319,ca_li_automatic_transmission_corp_427913,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/ca_li_automatic_transmission_corp_427913
Parking Garage,429528,"52 WEST 36TH STREET PARKING, LLC",,"59 61 WEST 36 STREET
NEW YORK, NY 10018
",59 61 WEST 36 STREET,NEW YORK,10018,2126869800,150,"[-73.99669149981281,40.756840774582145]",-73.99669149981281,40.756840774582145,52_west_36th_street_parking_llc_429528,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/52_west_36th_street_parking_llc_429528
Parking Garage,469029,E & B OPERATING CORP,108TH ST GARAGE,"137 108 STREET
NEW YORK, NY 10025
",137 108 STREET,NEW YORK,10025,2128658315,300,"[-73.96296150098298,40.80101768068162]",-73.96296150098298,40.80101768068162,e_b_operating_corp_469029,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/e_b_operating_corp_469029
Parking Garage,469457,"PERRY GARAGE CMPANY, INC",,"738 GREENWICH STREET
NEW YORK, NY 10014
",738 GREENWICH STREET,NEW YORK,10014,2122428762,240,"[-74.00694295157416,40.73513559055402]",-74.00694295157416,40.73513559055402,perry_garage_cmpany_inc_469457,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/perry_garage_cmpany_inc_469457
Parking Garage,469741,CAPITAL PARKING LLC,CAPITAL PARKING LLC,"166 63 STREET
NEW YORK, NY 10021
",166 63 STREET,NEW YORK,10021,2126869800,56,"[-74.02519694031777,40.642106528422076]",-74.02519694031777,40.642106528422076,capital_parking_llc_469741,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/capital_parking_llc_469741
Parking Garage,469813,EAST 71ST STREET    GARAGE CORP,MUTUAL PARKING,"135 71 STREET
NEW YORK, NY 10021
",135 71 STREET,NEW YORK,10021,2128887400,54,"[-73.96263088136087,40.76972720282538]",-73.96263088136087,40.76972720282538,east_71st_street_garage_corp_469813,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/east_71st_street_garage_corp_469813
Parking Garage,469866,METRO PARKING CORP,,"301 63 STREET
NEW YORK, NY 10021
",301 63 STREET,NEW YORK,10021,2122493344,39,"[-74.0212946507192,40.63984532482359]",-74.0212946507192,40.63984532482359,metro_parking_corp_469866,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/metro_parking_corp_469866
Parking Garage,694550,"ASTOR PARKING, LLC",,"1511 15
NEW YORK, NY 10036
",1511 15,NEW YORK,10036,2126869800,225,"[-73.989860554421,40.75934682719435]",-73.989860554421,40.75934682719435,astor_parking_llc_694550,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/astor_parking_llc_694550
Parking Garage,782517,EXCELLENT PARKING LLC,,"153 155 EAST 29 STREET
NEW YORK, NY 10016
",153 155 EAST 29 STREET,NEW YORK,10016,2126869800,123,"[-73.97823298586354,40.745242969987146]",-73.97823298586354,40.745242969987146,excellent_parking_llc_782517,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/excellent_parking_llc_782517
Parking Garage,784363,LAGUARDIA MARRIOTT HOTEL CORP,,"102 05 DITMARS BOULEVARD
QUEENS, NY 11369
",102 05 DITMARS BOULEVARD,QUEENS,11369,7185333027,410,"[-73.8723788986672,40.76341327370369]",-73.8723788986672,40.76341327370369,laguardia_marriott_hotel_corp_784363,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/laguardia_marriott_hotel_corp_784363
Parking Garage,817003,DILIGENT PARKING LLC,,"150 180 WEST 68 STREET
NEW YORK, NY 10023
",150 180 WEST 68 STREET,NEW YORK,10023,2126869800,158,"[-73.97994335610099,40.774536138232236]",-73.97994335610099,40.774536138232236,diligent_parking_llc_817003,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/diligent_parking_llc_817003
Parking Garage,858712,PERFORMANCE PARKING LLC,,"127 137 AMSTERDAM AVENUE
NEW YORK, NY 10023
",127 137 AMSTERDAM AVENUE,NEW YORK,10023,2126869800,375,"[-73.97994335610099,40.774536138232236]",-73.97994335610099,40.774536138232236,performance_parking_llc_858712,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/performance_parking_llc_858712
