"","Facility.Type","license","legalName","brand","location","streetAddress","addressLocality","postalCode","telephone","Number.of.Spaces","loc","longitude","latitude","entityTitle","X.context","X.type","X.id"
"348","Parking Garage",888159,"SYLVAN 71ST STREET GARAGE CORP","","355 361 EAST 71 STREET
NEW YORK, NY 10021
","355 361 EAST 71 STREET","NEW YORK","10021","2129446666",268,"[-73.959183941086,40.76920532766377]",-73.95918,40.76921,"sylvan_71st_street_garage_corp_888159","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/sylvan_71st_street_garage_corp_888159"
"349","Parking Garage",900653,"DEPENDABLE PARKING LLC","DEPENDABLE PARKING LLC","230 55 STREET
NEW YORK, NY 10019
","230 55 STREET","NEW YORK","10019","2126869800",195,"[-73.98251225743059,40.76483650376538]",-73.98251,40.76484,"dependable_parking_llc_900653","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/dependable_parking_llc_900653"
"350","Parking Garage",903997,"CENTRAL PARKING SYSTEM OF NEW YORK INC","","109 58 STREET
NEW YORK, NY 10022
","109 58 STREET","NEW YORK","10022","2126296602",150,"[-73.96974036534424,40.76209592001527]",-73.96974,40.7621,"central_parking_system_of_new_york_inc_903997","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_903997"
"351","Parking Garage",1037756,"SAGE PARKING CORP","SAGE PARKING","1295 JEROME AVENUE
BRONX, NY 10452
","1295 JEROME AVENUE","BRONX","10452","7185387336",240,"[-73.91929747553438,40.838160758926044]",-73.9193,40.83816,"sage_parking_corp_1037756","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/sage_parking_corp_1037756"
"352","Parking Garage",1070435,"EAST 46TH REALTY LLC","","320 46 STREET
NEW YORK, NY 10017
","320 46 STREET","NEW YORK","10017","2125999495",49,"[-73.9698333424117,40.752123150871704]",-73.96983,40.75212,"east_46th_realty_llc_1070435","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/east_46th_realty_llc_1070435"
"353","Parking Garage",1071282,"BRIAR HILL REALTY LLC","","600 246 STREET
BRONX, NY 10471
","600 246 STREET","BRONX","10471","7185489428",84,"[-73.90994891428436,40.89262683915381]",-73.90995,40.89263,"briar_hill_realty_llc_1071282","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/briar_hill_realty_llc_1071282"
"354","Parking Garage",1075982,"215 EAST 64 STREET CO., LLC","","215 64 STREET
NEW YORK, NY 10065
","215 64 STREET","NEW YORK","10065","2123551230",29,"[-73.96323590095017,40.76423765142215]",-73.96324,40.76424,"215_east_64_street_co_llc_1075982","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/215_east_64_street_co_llc_1075982"
"355","Parking Garage",1076844,"CARNEGIE CAR PARK INC.","GGMC","40 60 EAST 94 STREET
NEW YORK, NY 10128
","40 60 EAST 94 STREET","NEW YORK","10128","2129966363",110,"[-73.95062814906976,40.781770000585084]",-73.95063,40.78177,"carnegie_car_park_inc_1076844","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/carnegie_car_park_inc_1076844"
"356","Parking Garage",1088121,"CENTRAL PARKING SYSTEM OF NEW YORK INC","","553 571 AVENUE
NEW YORK, NY 10011
","553 571 AVENUE","NEW YORK","10011","2126048538",90,"[-74.00460000028977,40.74471526669623]",-74.0046,40.74472,"central_parking_system_of_new_york_inc_1088121","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_1088121"
"357","Parking Garage",1095789,"ADONIS PARKING LLC","","201 56 STREET
NEW YORK, NY 10022
","201 56 STREET","NEW YORK","10022","2124903460",150,"[-73.9679658469292,40.75957988457033]",-73.96797,40.75958,"adonis_parking_llc_1095789","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/adonis_parking_llc_1095789"
"358","Parking Garage",1097397,"STABLE CAR PARKING, INC","","614 153 STREET
NEW YORK, NY 10031
","614 153 STREET","NEW YORK","10031","2129799815",135,"[-73.94759669086068,40.831821701924014]",-73.9476,40.83182,"stable_car_parking_inc_1097397","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/stable_car_parking_inc_1097397"
"359","Parking Garage",1114184,"LEXINGTON GARAGE CORP.","","1501 LEXINGTON AVENUE
NEW YORK, NY 10029
","1501 LEXINGTON AVENUE","NEW YORK","10029","2127367171",150,"[-73.95052848067616,40.786423925885]",-73.95053,40.78642,"lexington_garage_corp_1114184","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/lexington_garage_corp_1114184"
"360","Parking Garage",1127924,"2 LINCOLN PARKING, LLC","","2 LINCOLN PLAZA
NEW YORK, NY 10023
","2 LINCOLN PLAZA","NEW YORK","10023","2126869800",80,"[-74.06876264257916,40.604795381251094]",-74.06876,40.6048,"2_lincoln_parking_llc_1127924","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/2_lincoln_parking_llc_1127924"
"361","Parking Garage",1128837,"THE GGG PARKING INC","","1565 JEROME AVENUE
BRONX, NY 10452
","1565 JEROME AVENUE","BRONX","10452","7189015222",69,"[-73.91507485720848,40.843958487652586]",-73.91507,40.84396,"the_ggg_parking_inc_1128837","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/the_ggg_parking_inc_1128837"
"362","Parking Garage",1129152,"EAST 14TH GARAGE CORP","","7 14 STREET
NEW YORK, NY 10003
","7 14 STREET","NEW YORK","10003","2127367171",112,"[-73.99327322372638,40.73588023182016]",-73.99327,40.73588,"east_14th_garage_corp_1129152","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/east_14th_garage_corp_1129152"
"363","Parking Garage",1135120,"NORTH PLAZA GARAGE LLC","","331 29 STREET
NEW YORK, NY 10016
","331 29 STREET","NEW YORK","10016","2126869800",83,"[-73.9756187960792,40.74059643081641]",-73.97562,40.7406,"north_plaza_garage_llc_1135120","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/north_plaza_garage_llc_1135120"
"364","Parking Garage",1137953,"KINNEY PARKING SYSTEM, INC","CENTRAL PARKING SYSTEM","838 852 11 AVENUE
NEW YORK, NY 10019
","838 852 11 AVENUE","NEW YORK","10019","2126296602",84,"[-73.99180550022362,40.76761164715987]",-73.99181,40.76761,"kinney_parking_system_inc_1137953","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/kinney_parking_system_inc_1137953"
"365","Parking Garage",1146424,"REGAL PARKING CORP","","98 22 63 DRIVE
REGO PARK, NY 11374
","98 22 63 DRIVE","REGO PARK","11374","2127367171",180,"[-73.86148084756303,40.72646491702238]",-73.86148,40.72646,"regal_parking_corp_1146424","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/regal_parking_corp_1146424"
"366","Parking Garage",1148650,"WORTHY PARKING LLC","","841 10 AVENUE
NEW YORK, NY 10019
","841 10 AVENUE","NEW YORK","10019","2124903460",86,"[-73.9893565167187,40.768102746953694]",-73.98936,40.7681,"worthy_parking_llc_1148650","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/worthy_parking_llc_1148650"
"367","Parking Garage",1148653,"UPTOWN PARKING CORP","","1721 1735 AMSTERDAM AVENUE
NEW YORK, NY
","1721 1735 AMSTERDAM AVENUE","NEW YORK","","2124903460",53,"[-73.9869510002884,40.756053999992105]",-73.98695,40.75605,"uptown_parking_corp_1148653","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/uptown_parking_corp_1148653"
"368","Parking Garage",1153003,"18TH AND THIRD PARKING LLC","","201 17 STREET
NEW YORK, NY 10003
","201 17 STREET","NEW YORK","10003","2126869800",108,"[-73.98573004610083,40.73520449313274]",-73.98573,40.7352,"18th_and_third_parking_llc_1153003","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/18th_and_third_parking_llc_1153003"
"369","Parking Garage",1159049,"211 WEST 56TH ST CAR PARK, LLC","GGMC","211 56 STREET
NEW YORK, NY 10019
","211 56 STREET","NEW YORK","10019","2129966363",196,"[-73.98213985686341,40.76556991488509]",-73.98214,40.76557,"211_west_56th_st_car_park_llc_1159049","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/211_west_56th_st_car_park_llc_1159049"
"370","Parking Garage",1175125,"STANDARD PARKING CORP","","250 VESEY STREET
NEW YORK, NY 10282
","250 VESEY STREET","NEW YORK","10282","2127864245",371,"[-74.01544154475107,40.7144511838801]",-74.01544,40.71445,"standard_parking_corp_1175125","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/standard_parking_corp_1175125"
"371","Parking Garage",1177260,"CENTRAL PARKING SYSTEM OF NEW YORK INC","","688 MAIN STREET
ROOSEVELT ISL, NY 10044
","688 MAIN STREET","ROOSEVELT ISL","10044","2125025490",490,"[-73.94660457627931,40.76535053419186]",-73.9466,40.76535,"central_parking_system_of_new_york_inc_1177260","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_1177260"
"372","Parking Garage",1180320,"ALERT PARKING LLC","","30 85TH STREET
NEW YORK, NY 10028
","30 85TH STREET","NEW YORK","10028","2126869800",43,"[-73.95965659927356,40.78032652252631]",-73.95966,40.78033,"alert_parking_llc_1180320","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/alert_parking_llc_1180320"
"373","Parking Garage",1180717,"118 PARKING CORP","","1682 PARK AVENUE
NEW YORK, NY 10035
","1682 PARK AVENUE","NEW YORK","10035","2127367171",52,"[-73.94239552688133,40.80076599830388]",-73.9424,40.80077,"118_parking_corp_1180717","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/118_parking_corp_1180717"
"374","Parking Garage",1180744,"EAST RIVER PARKING CORP","","345 94 STREET
NEW YORK, NY 10128
","345 94 STREET","NEW YORK","10128","2127367171",36,"[-73.94594193832671,40.782071207263186]",-73.94594,40.78207,"east_river_parking_corp_1180744","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/east_river_parking_corp_1180744"
"375","Parking Garage",1184438,"LIBERTY STREET REALTY LLC","","10 LIBERTY STREET
NEW YORK, NY 10005
","10 LIBERTY STREET","NEW YORK","10005","2125358670",200,"[-74.0082550451096,40.707688054385905]",-74.00826,40.70769,"liberty_street_realty_llc_1184438","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/liberty_street_realty_llc_1184438"
"376","Parking Garage",1185631,"SUTTON 53 PARKING LLC","","410 422 EAST 54 STREET
NEW YORK, NY 10022
","410 422 EAST 54 STREET","NEW YORK","10022","2126869800",182,"[-73.96809182217982,40.758630224005685]",-73.96809,40.75863,"sutton_53_parking_llc_1185631","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/sutton_53_parking_llc_1185631"
"377","Parking Garage",1186721,"NICE PARK LLC","","310 11 STREET
NEW YORK, NY 10003
","310 11 STREET","NEW YORK","10003","2122893800",120,"[-73.98555707371742,40.73002744142758]",-73.98556,40.73003,"nice_park_llc_1186721","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/nice_park_llc_1186721"
"378","Parking Garage",1187786,"CENTRAL PARKING SYSTEM OF NEW YORK INC","","34 RIVER TERRACE
NEW YORK, NY 10282
","34 RIVER TERRACE","NEW YORK","10282","2125025490",123,"[-74.01568868713306,40.71769776164492]",-74.01569,40.7177,"central_parking_system_of_new_york_inc_1187786","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_1187786"
"379","Parking Garage",1192853,"59 ALLEN STREET GARAGE CORP","","59 ALLEN STREET
NEW YORK, NY 10002
","59 ALLEN STREET","NEW YORK","10002","2127367171",200,"[-73.99163649063547,40.717023244883876]",-73.99164,40.71702,"59_allen_street_garage_corp_1192853","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/59_allen_street_garage_corp_1192853"
"380","Parking Garage",1192930,"QUIK PARK SWIFT LLC","","140 56 STREET
NEW YORK, NY 10022
","140 56 STREET","NEW YORK","10022","2128322066",50,"[-73.9694516819715,40.76014208303016]",-73.96945,40.76014,"quik_park_swift_llc_1192930","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/quik_park_swift_llc_1192930"
"381","Parking Garage",1193449,"117TH STREET, CORP","","220 117 STREET
NEW YORK, NY 10035
","220 117 STREET","NEW YORK","10035","2129874400",100,"[-73.93853152480528,40.79820504446883]",-73.93853,40.79821,"117th_street_corp_1193449","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/117th_street_corp_1193449"
"382","Parking Garage",1196436,"KINNEY PARKING SYSTEM INC","CENTRAL PARKING SYSTEM","109 123 WEST 56 STREET
NEW YORK, NY 10019
","109 123 WEST 56 STREET","NEW YORK","10019","2125025490",87,"[-73.99180550022362,40.76761164715987]",-73.99181,40.76761,"kinney_parking_system_inc_1196436","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/kinney_parking_system_inc_1196436"
"383","Parking Garage",1197266,"100 WILLIAM GARAGE CORP","","72 JOHN STREET
NEW YORK, NY 10038
","72 JOHN STREET","NEW YORK","10038","2127367171",43,"[-74.0073891910026,40.70877510780521]",-74.00739,40.70878,"100_william_garage_corp_1197266","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/100_william_garage_corp_1197266"
"384","Parking Garage",1199957,"KINNEY PARKING SYSTEM INC","","146 57TH STREET
NEW YORK, NY 10019
","146 57TH STREET","NEW YORK","10019","2125025490",89,"[-73.97900101612379,40.765092007350006]",-73.979,40.76509,"kinney_parking_system_inc_1199957","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/kinney_parking_system_inc_1199957"
"385","Parking Garage",1201685,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.","","530 76 STREET
NEW YORK, NY 10021
","530 76 STREET","NEW YORK","10021","2125025490",23,"[-73.95113255107943,40.7691151905303]",-73.95113,40.76912,"central_parking_system_of_new_york_inc_1201685","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_1201685"
"386","Parking Garage",1202746,"KINNEY PARKING SYSTEM INC","CENTRAL PARKING SYSTEM","58 58 STREET
NEW YORK, NY 10019
","58 58 STREET","NEW YORK","10019","2125025490",160,"[-73.97624009749387,40.764813217520896]",-73.97624,40.76481,"kinney_parking_system_inc_1202746","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/kinney_parking_system_inc_1202746"
"387","Parking Garage",1202982,"LARDON 575, LLC.","","300 145 STREET
NEW YORK, NY 10039
","300 145 STREET","NEW YORK","10039","2124903460",158,"[-73.94197771817052,40.822834545664435]",-73.94198,40.82283,"lardon_575_llc_1202982","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/lardon_575_llc_1202982"
"388","Parking Garage",1204173,"TUNNEL 34 PARKING, LLC","","222 34 STREET
NEW YORK, NY 10016
","222 34 STREET","NEW YORK","10016","2126869800",107,"[-73.97724265598316,40.7453173018596]",-73.97724,40.74532,"tunnel_34_parking_llc_1204173","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/tunnel_34_parking_llc_1204173"
"389","Parking Garage",1205750,"MTP 57, LLC","","601 57 STREET
NEW YORK, NY 10019
","601 57 STREET","NEW YORK","10019","2125755335",100,"[-73.99149741362523,40.770388783849285]",-73.9915,40.77039,"mtp_57_llc_1205750","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/mtp_57_llc_1205750"
"390","Parking Garage",1206789,"206 E. 59TH ST GARAGE, CORP.","","206 59 STREET
NEW YORK, NY 10022
","206 59 STREET","NEW YORK","10022","2129378660",225,"[-73.96641866291219,40.76145644127821]",-73.96642,40.76146,"206_e_59th_st_garage_corp_1206789","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/206_e_59th_st_garage_corp_1206789"
"391","Parking Garage",1211705,"KINNEY PARKING SYSTEM INC.","CENTRAL PARKING SYSTEM","85 LIVINGSTON STREET
BROOKLYN, NY 11201
","85 LIVINGSTON STREET","BROOKLYN","11201","7187974864",160,"[-73.99094525123202,40.691487621155595]",-73.99095,40.69149,"kinney_parking_system_inc_1211705","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/kinney_parking_system_inc_1211705"
"392","Parking Garage",1213080,"WALL ST GARAGE PARKING, CORP.","","45 WALL STREET
NEW YORK, NY 10005
","45 WALL STREET","NEW YORK","10005","2128250700",87,"[-74.00970387020413,40.706510170361355]",-74.0097,40.70651,"wall_st_garage_parking_corp_1213080","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/wall_st_garage_parking_corp_1213080"
"393","Parking Garage",1216898,"WEST 145TH GARAGE CORP","","330 145 STREET
NEW YORK, NY 10039
","330 145 STREET","NEW YORK","10039","2127367171",23,"[-73.943432829865,40.82347599349214]",-73.94343,40.82348,"west_145th_garage_corp_1216898","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/west_145th_garage_corp_1216898"
"394","Parking Garage",1218380,"444 MANAHATTAN PARKING, CORP.","","309 118 STREET
NEW YORK, NY 10026
","309 118 STREET","NEW YORK","10026","2127367171",24,"[-73.95466774754757,40.80586309831517]",-73.95467,40.80586,"444_manahattan_parking_corp_1218380","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/444_manahattan_parking_corp_1218380"
"395","Parking Garage",921085,"ABC PARKING CORP.","","2070 WHITE PLAINS ROAD
BRONX, NY 10462
","2070 WHITE PLAINS ROAD","BRONX","10462","7188025611",95,"[-73.86773555729206,40.852461800715005]",-73.86774,40.85246,"abc_parking_corp_921085","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/abc_parking_corp_921085"
"396","Parking Garage",928927,"ELI'S LEASING INC","","422 91 STREET
NEW YORK, NY 10128
","422 91 STREET","NEW YORK","10128","2125349395",135,"[-73.94595093154703,40.779598071682585]",-73.94595,40.7796,"eli_s_leasing_inc_928927","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/eli_s_leasing_inc_928927"
"397","Parking Garage",945260,"FEDERAL REALTY LIMITED PARTNERSHIP","","97 77 QUEENS BOULEVARD
REGO PARK, NY 11374
","97 77 QUEENS BOULEVARD","REGO PARK","11374","7185754692",200,"[-73.86148084756303,40.72646491702238]",-73.86148,40.72646,"federal_realty_limited_partnership_945260","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/federal_realty_limited_partnership_945260"
"398","Parking Garage",947353,"WEST 108TH STREET PARKING GARAGE CORPORATION","","234 108 STREET
NEW YORK, NY 10025
","234 108 STREET","NEW YORK","10025","2122228800",98,"[-73.9665543992383,40.80250380376884]",-73.96655,40.8025,"west_108th_street_parking_garage_corporation_947353","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/west_108th_street_parking_garage_corporation_947353"
"399","Parking Garage",959361,"PARKANLEX GARAGE COMPANY,L.L.C.","","115 75 STREET
NEW YORK, NY 10021
","115 75 STREET","NEW YORK","10021","2128887400",165,"[-73.96128437214662,40.772583359854025]",-73.96128,40.77258,"parkanlex_garage_company_l_l_c_959361","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/parkanlex_garage_company_l_l_c_959361"
"400","Parking Garage",962302,"VIP CAPITAL PARKING CORP.","","298 MULBERRY STREET
NEW YORK, NY 10012
","298 MULBERRY STREET","NEW YORK","10012","2129421200",21,"[-73.99492419541565,40.72483238950696]",-73.99492,40.72483,"vip_capital_parking_corp_962302","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/vip_capital_parking_corp_962302"
"401","Parking Garage",962865,"CENTRAL PARKING SYSTEM OF NEW YORK INC","","25 43 WEST 48 STREET
NEW YORK, NY 10020
","25 43 WEST 48 STREET","NEW YORK","10020","2126296602",652,"[-73.98007439721562,40.7594985131459]",-73.98007,40.7595,"central_parking_system_of_new_york_inc_962865","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_962865"
"402","Parking Garage",971313,"CENTRAL PARKING SYSTEM OF NEW YORK INC","","135 47 STREET
NEW YORK, NY 10017
","135 47 STREET","NEW YORK","10017","2126296602",149,"[-73.97336424829356,40.754489785493504]",-73.97336,40.75449,"central_parking_system_of_new_york_inc_971313","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_971313"
"403","Parking Garage",972256,"EASTSIDE PARKING LLC","","45 SUTTON PLACE
NEW YORK, NY 10022
","45 SUTTON PLACE","NEW YORK","10022","2123558890",88,"[-73.95987151955093,40.75841661921273]",-73.95987,40.75842,"eastside_parking_llc_972256","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/eastside_parking_llc_972256"
"404","Parking Garage",974364,"MTP 3300 BROADWAY CORP","","627 129 STREET
NEW YORK, NY 10027
","627 129 STREET","NEW YORK","10027","2125755335",200,"[-73.95905405351391,40.81682101047534]",-73.95905,40.81682,"mtp_3300_broadway_corp_974364","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/mtp_3300_broadway_corp_974364"
"405","Parking Garage",976776,"BRONX CAR PARK SYSTEMS, INC","","2425 SEDGWICK AVENUE
BRONX, NY 10468
","2425 SEDGWICK AVENUE","BRONX","10468","2122216111",495,"[-73.90896297284826,40.86447393961661]",-73.90896,40.86447,"bronx_car_park_systems_inc_976776","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/bronx_car_park_systems_inc_976776"
"406","Parking Garage",976779,"LA MIRAGE CAR PARK, INC.","","178 10 WEXFORD TERRACE
JAMAICA, NY 11432
","178 10 WEXFORD TERRACE","JAMAICA","11432","2122216111",148,"[-73.79282099978928,40.71311535449007]",-73.79282,40.71312,"la_mirage_car_park_inc_976779","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/la_mirage_car_park_inc_976779"
"407","Parking Garage",981503,"SKY PARKING CORP.","","121 READE STREET
NEW YROK, NY 10013
","121 READE STREET","NEW YROK","10013","2127536116",89,"[-74.008834288607,40.716006176984685]",-74.00883,40.71601,"sky_parking_corp_981503","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/sky_parking_corp_981503"
"408","Parking Garage",983786,"RAPID 75, CORP","","35 75 STREET
NEW YORK, NY 10021
","35 75 STREET","NEW YORK","10021","2128661000",73,"[-73.96390376204388,40.77372105067555]",-73.9639,40.77372,"rapid_75_corp_983786","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/rapid_75_corp_983786"
"409","Parking Garage",998154,"SYLVAN MIDWAY GARAGE, LLC","","108 02-18 QUEENS BLVD
FOREST HILLS, NY 11375
","108 02-18 QUEENS BLVD","FOREST HILLS","11375","2129446666",130,"[-73.84628429608335,40.720707263029794]",-73.84628,40.72071,"sylvan_midway_garage_llc_998154","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/sylvan_midway_garage_llc_998154"
"410","Parking Garage",1002968,"ENTERPRISE 61ST LLC","","160 62 STREET
NEW YORK, NY 10021
","160 62 STREET","NEW YORK","10021","2122238648",128,"[-74.0228698853423,40.641625839216886]",-74.02287,40.64163,"enterprise_61st_llc_1002968","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/enterprise_61st_llc_1002968"
"411","Parking Garage",1004129,"55 E 125 ST CORP","","55 125 STREET
NEW YORK, NY 10027
","55 125 STREET","NEW YORK","10027","2128661000",47,"[-73.94430517223344,40.80727920374443]",-73.94431,40.80728,"55_e_125_st_corp_1004129","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/55_e_125_st_corp_1004129"
"412","Parking Garage",1007823,"BIENVENIDO LLC","","1277 JEROME AVENUE
BRONX, NY 10452
","1277 JEROME AVENUE","BRONX","10452","2122893800",96,"[-73.92006141668224,40.83764005697384]",-73.92006,40.83764,"bienvenido_llc_1007823","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/bienvenido_llc_1007823"
"413","Parking Garage",1010035,"5TH AVENUE GARAGE CORP","","96 5 AVENUE
NEW YORK, NY 10011
","96 5 AVENUE","NEW YORK","10011","2127367171",75,"[-73.99306607647945,40.736799291979565]",-73.99307,40.7368,"5th_avenue_garage_corp_1010035","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/5th_avenue_garage_corp_1010035"
"414","Parking Garage",1010044,"WESTMONT PARKING INC","","730 COLUMBUS AVENUE
NEW YORK, NY 10025
","730 COLUMBUS AVENUE","NEW YORK","10025","2127367171",44,"[-73.96770235529773,40.79267762827752]",-73.9677,40.79268,"westmont_parking_inc_1010044","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/westmont_parking_inc_1010044"
"415","Parking Garage",1013974,"SOUTH WILLIAM PARKING LLC","","14 WILLIAM STREET
NEW YORK, NY 10004
","14 WILLIAM STREET","NEW YORK","10004","2126869800",400,"[-74.01073809053781,40.704513675456326]",-74.01074,40.70451,"south_william_parking_llc_1013974","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/south_william_parking_llc_1013974"
"416","Parking Garage",1036915,"160 PARKING CORP","","160 65 STREET
NEW YORK, NY 10021
","160 65 STREET","NEW YORK","10021","2127367171",150,"[-74.02510492794114,40.64021838650345]",-74.0251,40.64022,"160_parking_corp_1036915","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/160_parking_corp_1036915"
"417","Parking Garage",1070438,"ARWIN 74TH STREET LLC","","300 75 STREET
NEW YORK, NY 10021
","300 75 STREET","NEW YORK","10021","2126501416",177,"[-73.95691876225543,40.770720676639506]",-73.95692,40.77072,"arwin_74th_street_llc_1070438","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/arwin_74th_street_llc_1070438"
"418","Parking Garage",1071280,"EAST 77TH REALTY LLC","","500 77 STREET
NEW YORK, NY 10162
","500 77 STREET","NEW YORK","10162","2126501433",300,"[-74.02320167509022,40.62790801831138]",-74.0232,40.62791,"east_77th_realty_llc_1071280","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/east_77th_realty_llc_1071280"
"419","Parking Garage",1071285,"BRIAR HILL REALTY LLC","","630 246 STREET
BRONX, NY 10471
","630 246 STREET","BRONX","10471","7185489428",84,"[-73.91131352186585,40.89230439985561]",-73.91131,40.8923,"briar_hill_realty_llc_1071285","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/briar_hill_realty_llc_1071285"
"420","Parking Garage",1074675,"MINT PARKING CORPORATION","","270 DYCKMAN STREET
NEW YORK, NY 10034
","270 DYCKMAN STREET","NEW YORK","10034","2125679897",250,"[-73.92893575875269,40.86687727462618]",-73.92894,40.86688,"mint_parking_corporation_1074675","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/mint_parking_corporation_1074675"
